Current,,
,,
證券代碼,年月日,報酬率％
1436 華友聯,2001/12/28,0.7194
1437 勤益控,2001/12/28,-0.8065
1438 三地開發,2001/12/28,-6.5934
1439 中和,2001/12/28,1.0453
1440 南紡,2001/12/28,-1.7391
1441 大東,2001/12/28,-4.3103
1442 名軒,2001/12/28,0
1443 立益,2001/12/28,-3.8095
1444 力麗,2001/12/28,-1.8293
1445 大宇,2001/12/28,-1.7857
1446 宏和,2001/12/28,-1.5267
1447 力鵬,2001/12/28,0
1449 佳和,2001/12/28,1.8519
1451 年興,2001/12/28,0.9009
1452 宏益,2001/12/28,0
1453 大將,2001/12/28,1.2346
1454 台富,2001/12/28,-3.2787
1455 集盛,2001/12/28,-0.9259
1456 怡華,2001/12/28,5.9406
1457 宜進,2001/12/28,0.7895
1459 聯發,2001/12/28,-2.9586
1460 宏遠,2001/12/28,2.6316
1463 強盛,2001/12/28,-6.5909
1464 得力,2001/12/28,0
1465 偉全,2001/12/28,0
1466 聚隆,2001/12/28,-3.2258
1467 南緯,2001/12/28,0
1468 昶和,2001/12/28,0.4237
1470 大統新創,2001/12/28,0
1471 首利,2001/12/28,-0.9464
1472 三洋紡,2001/12/28,1.2821
1473 台南,2001/12/28,1.039
1474 弘裕,2001/12/28,0
1475 業旺,2001/12/28,0
1476 儒鴻,2001/12/28,1.7442
1503 士電,2001/12/28,0.6369
1504 東元,2001/12/28,1.4286
1506 正道,2001/12/28,-1.7647
1507 永大,2001/12/28,0.4032
1512 瑞利,2001/12/28,-1.4493
1513 中興電,2001/12/28,-1.2195
1514 亞力,2001/12/28,0.6452
1515 力山,2001/12/28,0.9524
1516 川飛,2001/12/28,0.3676
1517 利奇,2001/12/28,-1.8182
1519 華城,2001/12/28,0
1521 大億,2001/12/28,1.5228
1522 堤維西,2001/12/28,2.2727
1524 耿鼎,2001/12/28,-1.5385
1525 江申,2001/12/28,0.9091
1526 日馳,2001/12/28,0
1527 鑽全,2001/12/28,0.4808
1528 恩德,2001/12/28,0
1529 樂士,2001/12/28,2.0202
1530 亞崴,2001/12/28,0
1531 高林股,2001/12/28,-2.4096
1532 勤美,2001/12/28,0.6757
1533 車王電,2001/12/28,1.0267
1535 中宇,2001/12/28,3.0303
1536 和大,2001/12/28,-2.0408
1538 正峰,2001/12/28,1.5707
1539 巨庭,2001/12/28,-0.5
1540 喬福,2001/12/28,0
1603 華電,2001/12/28,0.6006
1604 聲寶,2001/12/28,0.6211
1605 華新,2001/12/28,1.8634
1608 華榮,2001/12/28,0.6061
1609 大亞,2001/12/28,-0.5076
